model,family,configuration,attempted_queries,expected_queries,valid_responses,ndcg_at_10,accuracy,avg_cost_cny,avg_latency_seconds,effective_success_rate,overall_score,avg_prompt_tokens,avg_completion_tokens,avg_reasoning_tokens,avg_cached_tokens,p50_latency_seconds,p95_latency_seconds,api_success_rate,failure_rate,unknown_cost_calls,known_cost_cny,accounted_and_reserved_cny,quality_first_score,economy_first_score,aiq,pareto_frontier,selection_status,failure_reasons,source
qwen3.5-flash,Qwen,none,12,12,12,0.6637438320536962,0.5833333333333334,0.0006850833333333334,1.746083333331626,1.0,72.62007578854603,2214.4166666666665,82,,,1.6094999999913853,2.4626999999964028,1.0,0.0,0,0.008214772799999999,0.008221000000000001,69.19800328214787,75.69960662827756,58.08209936241533,True,进入复测,{},https://aihubmix.com/model/qwen3.5-flash
qwen3.5-35b-a3b,Qwen,none,12,12,12,0.6716320128043652,0.5833333333333334,0.0012884166666666667,1.8529166666630772,1.0,71.99116211481945,2214.4166666666665,80,,,1.6875,2.420350000013422,1.0,0.0,0,0.0154549536,0.015461,68.91019717884129,74.4279187174643,54.66367596662036,True,进入复测,{},https://aihubmix.com/model/qwen3.5-35b-a3b
qwen3.8-flash,Qwen,none,12,12,12,0.6667066654959176,0.5833333333333334,0.0022388333333333336,2.165416666667928,1.0,69.62924770771957,2214.4166666666665,80.16666666666667,,0,1.9609999999956926,2.8179999999949357,1.0,0.0,0,0.0268616308,0.026866,67.3808154941846,71.14021438024,48.50884385456811,False,进入复测,{},https://aihubmix.com/model/qwen3.8-flash
gpt-4o-mini,GPT,none,12,12,12,0.6743701674406627,0.5833333333333334,0.003045333333333334,1.5300833333312767,1.0,69.45162252708987,2318.75,54.666666666666664,0,0,1.5705000000016298,1.8744000000006054,1.0,0.0,0,0.0365388,0.03654400000000001,67.26280669762652,70.11777168988654,43.73454306691442,True,进入复测,{},https://aihubmix.com/model/gpt-4o-mini
qwen3.7-flash,Qwen,none,12,12,12,0.6505977743572551,0.5,0.0005558333333333332,1.2538333333310827,1.0,69.43717210250394,2214.4166666666665,61.833333333333336,,0,1.179500000012922,1.6399999999979626,1.0,0.0,0,0.0066644496,0.006669999999999999,65.46807764095688,73.12834989738431,54.33218573662822,True,进入复测,{},https://aihubmix.com/model/qwen3.7-flash
doubao-seed-2-0-mini-260428,Doubao,none,12,12,12,0.6523812203700524,0.5,0.0007411666666666666,1.8345833333344974,1.0,69.22159271295185,2793.4166666666665,49,0,0,1.7969999999913853,2.3279999999926075,1.0,0.0,0,0.008888865599999999,0.008893999999999999,65.35408214813545,72.71851994443492,53.348528279347946,False,合格但未入前五,{},https://aihubmix.com/model/doubao-seed-2-0-mini-260428
qwen3.5-397b-a17b,Qwen,none,12,12,12,0.6734223471490299,0.5833333333333334,0.003560083333333333,2.0309999999978268,1.0,68.49368964653384,2214.4166666666665,82,,,1.9685000000026776,2.554649999999674,1.0,0.0,0,0.04271375040000001,0.042720999999999995,66.63382680078676,68.64982791078869,40.4670092633319,False,合格但未入前五,{},https://aihubmix.com/model/qwen3.5-397b-a17b
qwen3.5-plus,Qwen,none,12,12,12,0.6721392619653739,0.5833333333333334,0.0023564166666666664,2.5404166666727783,1.0,68.27964012607056,2214.4166666666665,78.75,,,2.5310000000172295,2.9813500000062048,1.0,0.0,0,0.0282706624,0.028276999999999997,66.79884929058954,69.64586048291035,47.98154702440972,True,合格但未入前五,{},https://aihubmix.com/model/qwen3.5-plus
grok-4-1-fast-non-reasoning,Grok,none,12,12,12,0.6671063136403008,0.5833333333333334,0.0036291666666666664,2.0235833333305586,1.0,68.20509520699486,2185.5,33,0,217,2.125499999994645,2.5211499999961235,1.0,0.0,0,0.0435456,0.04355,66.33014799373753,68.32373030546,39.83171292130598,False,合格但未入前五,{},https://aihubmix.com/model/grok-4-1-fast-non-reasoning
qwen3.5-122b-a10b,Qwen,none,12,12,12,0.6657452531987108,0.5,0.00249725,1.7174999999939853,1.0,67.05520886195487,2214.4166666666665,69.66666666666667,,,1.6410000000032596,2.2802499999990684,1.0,0.0,0,0.029961508799999998,0.029966999999999997,64.13256012794844,68.72923259596132,43.731475992183135,True,合格但未入前五,{},https://aihubmix.com/model/qwen3.5-122b-a10b
