run,case_id,family,version,arm,original_task_passed,run_status,root_report_accepted,root_first_finish_accepted,root_finish_requests,root_finish_rejections,root_content_rejections,root_control_rejections,expert_finish_rejections,root_text_only_model_responses,first_root_rejection_after_model_call,total_model_calls,following_root_rejection_model_calls,total_recorded_model_cost_cny,following_root_rejection_cost_cny,following_root_rejection_input_tokens,following_root_rejection_output_tokens,following_root_rejection_model_latency_seconds,total_run_latency_seconds
RL-00-0-v5_coordinator,RL-00-0,short_delay,v5,coordinator,True,completed,True,False,3,2,1,1,0,0,8,10,2,0.1518864,0.049680,25044,1001,8.374,45.844
RL-00-0-v5_on_demand,RL-00-0,short_delay,v5,on_demand,True,completed,True,False,2,1,0,1,0,0,4,5,1,0.0657376,0.018312,9117,388,3.797,17.829
RL-00-0-v5_single,RL-00-0,short_delay,v5,single,True,completed,True,False,2,1,1,0,0,0,3,5,2,0.0678288,0.0340704,18564,455,7.875,20.547
RL-00-0-v6_coordinator,RL-00-0,short_delay,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,8,0,0.1350768,0,0,0,0,34.563
RL-00-0-v6_on_demand,RL-00-0,short_delay,v6,on_demand,True,completed,True,False,2,1,1,0,0,0,4,6,2,0.1152496,0.0514400,29546,434,7.032,21.765
RL-00-0-v6_single,RL-00-0,short_delay,v6,single,True,completed,True,False,2,1,1,0,0,0,3,4,1,0.0725328,0.0256,13648,392,3.984,16.11
RL-00-1-v5_coordinator,RL-00-1,short_delay,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,7,0,0.0813392,0,0,0,0,27.828
RL-00-1-v5_on_demand,RL-00-1,short_delay,v5,on_demand,True,completed,True,False,2,1,0,1,0,0,4,5,1,0.0660304,0.0189392,9047,465,4.453,19.859
RL-00-1-v5_single,RL-00-1,short_delay,v5,single,True,completed,True,False,3,2,1,1,0,0,3,5,2,0.0775648,0.0410896,20047,939,10.219,21.719
RL-00-1-v6_coordinator,RL-00-1,short_delay,v6,coordinator,True,completed,True,False,2,1,1,0,1,0,8,11,3,0.2685344,0.0962928,53685,1083,16.188,62.469
RL-00-1-v6_on_demand,RL-00-1,short_delay,v6,on_demand,True,completed,True,False,2,1,1,0,0,0,4,5,1,0.0898256,0.0261744,13887,412,5.422,20.266
RL-00-1-v6_single,RL-00-1,short_delay,v6,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0459296,0,0,0,0,13.031
RL-01-0-v5_coordinator,RL-01-0,long_delay,v5,coordinator,True,completed,True,True,1,0,0,0,0,0,,8,0,0.1002944,0,0,0,0,32.047
RL-01-0-v5_on_demand,RL-01-0,long_delay,v5,on_demand,True,completed,True,False,2,1,1,0,0,0,4,6,2,0.0829024,0.0350976,19548,398,5.766,20.282
RL-01-0-v5_single,RL-01-0,long_delay,v5,single,True,completed,True,True,1,0,0,0,0,0,,3,0,0.0338656,0,0,0,0,9.797
RL-01-0-v6_coordinator,RL-01-0,long_delay,v6,coordinator,True,completed,True,True,1,0,0,0,0,0,,9,0,0.2162720,0,0,0,0,39.093
RL-01-0-v6_on_demand,RL-01-0,long_delay,v6,on_demand,True,completed,True,True,1,0,0,0,0,0,,4,0,0.0648656,0,0,0,0,16.172
