case_id,scenario,condition,arm,run_status,model_calls,tool_calls,input_tokens,output_tokens,accounted_and_reserved_cny,latency_seconds,delegations,task_completed,business_success,required_evidence_covered,constraint_violation,failure_reasons,evidence_gaps
SCREP-approved_read_only,approved_read_only,bootstrap,coordinator,completed,4,1,12882,1042,0.030615,18.641,1,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,bootstrap,on_demand,completed,3,3,13453,534,0.026652,22.266,0,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,bootstrap,single,completed,2,2,6924,341,0.014353,12.594,0,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,both,coordinator,completed,3,1,9594,752,0.022571,14.016,1,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,both,on_demand,completed,3,2,11719,319,0.021814,15.578,0,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,both,single,completed,2,3,7793,456,0.016848,8.265,0,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,guard,coordinator,completed,7,3,27135,1517,0.057981,27.906,2,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,guard,on_demand,completed,3,2,10188,492,0.021025,19.422,0,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,guard,single,completed,2,1,4790,314,0.010679,13.422,0,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,neither,coordinator,completed,6,2,19677,1494,0.045829,26.469,2,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,neither,on_demand,completed,3,1,8514,413,0.017588,17.094,0,True,True,True,False,,
SCREP-approved_read_only,approved_read_only,neither,single,completed,2,1,4790,304,0.010583,8.578,0,True,True,True,False,,
SCREP-combined,combined,bootstrap,coordinator,completed,7,5,46203,2243,0.09546,42.36,3,False,True,False,False,,current_route_arrival_at_not_cited;current_route_total_cost_cents_not_cited
SCREP-combined,combined,bootstrap,on_demand,completed,4,6,27272,594,0.049339,17.109,0,True,True,True,False,,
SCREP-combined,combined,bootstrap,single,completed,3,6,18992,495,0.03514,11.703,0,True,True,True,False,,
SCREP-combined,combined,both,coordinator,completed,7,5,46174,2346,0.096403,51.703,3,True,True,True,False,,
SCREP-combined,combined,both,on_demand,completed,4,6,27302,608,0.049521,16.516,0,True,True,True,False,,
SCREP-combined,combined,both,single,completed,3,6,18994,588,0.036036,18.0,0,True,True,True,False,,
SCREP-combined,combined,guard,coordinator,completed,8,5,47038,2358,0.097901,36.938,3,True,True,True,False,,
SCREP-combined,combined,guard,on_demand,completed,5,5,26350,707,0.048949,22.094,0,True,True,True,False,,
SCREP-combined,combined,guard,single,completed,4,4,17218,561,0.032936,21.719,0,True,True,True,False,,
SCREP-combined,combined,neither,coordinator,completed,7,5,38432,1727,0.078074,31.109,2,True,True,True,False,,
SCREP-combined,combined,neither,on_demand,completed,5,5,26393,688,0.048836,22.14,0,True,True,True,False,,
SCREP-combined,combined,neither,single,completed,4,5,18967,588,0.035994,16.344,0,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,bootstrap,coordinator,completed,7,5,42656,1791,0.085446,34.0,1,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,bootstrap,on_demand,completed,4,5,23437,601,0.043271,13.938,0,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,bootstrap,single,completed,4,5,22206,614,0.041426,20.031,0,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,both,coordinator,completed,8,5,47778,1829,0.094006,38.89,2,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,both,on_demand,completed,4,6,28102,657,0.051272,14.579,0,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,both,single,completed,4,5,22205,598,0.04127,24.406,0,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,guard,coordinator,completed,6,5,26455,986,0.051795,30.094,1,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,guard,on_demand,completed,6,5,31213,642,0.056106,19.922,0,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,guard,single,completed,4,5,20678,643,0.039259,15.109,0,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,neither,coordinator,completed,8,5,47889,2435,0.100001,48.375,2,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,neither,on_demand,completed,5,5,27356,578,0.049319,17.157,0,True,True,True,False,,
SCREP-multiple_lines,multiple_lines,neither,single,completed,4,5,20679,619,0.039031,19.656,0,True,True,True,False,,
SCREP-order_clarification,order_clarification,bootstrap,coordinator,completed,4,1,10826,957,0.02651,37.796,1,True,True,True,False,,
SCREP-order_clarification,order_clarification,bootstrap,on_demand,completed,3,2,9986,367,0.019502,10.047,0,True,True,True,False,,
SCREP-order_clarification,order_clarification,bootstrap,single,completed,2,2,5887,280,0.012108,8.079,0,True,True,True,False,,
SCREP-order_clarification,order_clarification,both,coordinator,completed,3,1,7998,789,0.020373,17.704,1,True,True,True,False,,
SCREP-order_clarification,order_clarification,both,on_demand,completed,4,2,13917,604,0.028067,18.969,0,True,True,True,False,,
SCREP-order_clarification,order_clarification,both,single,completed,2,2,5887,314,0.012434,8.094,0,True,True,True,False,,
SCREP-order_clarification,order_clarification,guard,coordinator,completed,5,2,13560,747,0.028869,21.078,1,True,True,True,False,,
SCREP-order_clarification,order_clarification,guard,on_demand,completed,3,1,7830,373,0.01611,12.422,0,True,True,True,False,,
SCREP-order_clarification,order_clarification,guard,single,completed,4,2,10934,610,0.023352,22.86,0,True,True,True,False,,
SCREP-order_clarification,order_clarification,neither,coordinator,completed,5,2,14040,1078,0.032815,29.312,1,True,True,True,False,,
SCREP-order_clarification,order_clarification,neither,on_demand,completed,4,1,11087,646,0.023942,15.703,0,True,True,True,False,,
SCREP-order_clarification,order_clarification,neither,single,completed,2,1,4439,287,0.009858,8.64,0,True,True,True,False,,
SCREP-order_ready,order_ready,bootstrap,coordinator,completed,9,5,38573,1695,0.077993,39.563,2,True,True,True,False,,
SCREP-order_ready,order_ready,bootstrap,on_demand,completed,5,4,18550,595,0.035395,15.735,0,True,True,True,False,,
SCREP-order_ready,order_ready,bootstrap,single,completed,4,4,13878,441,0.02644,11.188,0,True,True,True,False,,
SCREP-order_ready,order_ready,both,coordinator,completed,6,4,21771,1122,0.045606,27.235,1,True,True,True,False,,
SCREP-order_ready,order_ready,both,on_demand,completed,6,4,23195,937,0.046108,17.047,0,True,True,True,False,,
SCREP-order_ready,order_ready,both,single,completed,4,4,13876,470,0.026716,11.906,0,True,True,True,False,,
SCREP-order_ready,order_ready,guard,coordinator,completed,6,4,20053,1222,0.043819,28.219,1,True,True,True,False,,
SCREP-order_ready,order_ready,guard,on_demand,completed,6,4,23744,1026,0.047843,19.391,0,True,True,True,False,,
SCREP-order_ready,order_ready,guard,single,completed,6,4,21002,968,0.042898,18.968,0,True,True,True,False,,
SCREP-order_ready,order_ready,neither,coordinator,completed,6,4,21134,1169,0.045039,38.078,1,True,True,True,False,,
SCREP-order_ready,order_ready,neither,on_demand,completed,6,4,19939,626,0.037914,17.671,0,True,True,True,False,,
SCREP-order_ready,order_ready,neither,single,completed,5,4,18710,914,0.038713,18.562,0,True,True,True,False,,
SCREP-product_info,product_info,bootstrap,coordinator,completed,4,2,11949,540,0.024304,12.359,1,True,True,True,False,,
